ID,Country,Date,Cum_conf_cases,Cum_susp_cases,Cum_conf_death
1,Guinea,3/10/15,2871,22,1778
2,Liberia,3/10/15,3150,4314,NA
3,Sierra Leone,3/10/15,8428,2904,3263
4,United Kingdom,3/10/15,1,0,NA
5,Mali,3/10/15,7,0,NA
6,Nigeria,3/10/15,19,0,7
7,Senegal,3/10/15,1,0,0
8,Spain,3/10/15,1,0,0
9,United States of America,3/10/15,4,0,1
10,United Kingdom,3/6/15,1,0,NA
11,Guinea,3/6/15,2840,16,1755
12,Liberia,3/6/15,3150,4222,NA
13,Sierra Leone,3/6/15,8389,2841,3210
14,Mali,3/6/15,7,0,NA
15,Nigeria,3/6/15,19,0,7
16,Senegal,3/6/15,1,0,0
17,Spain,3/6/15,1,0,0
18,United States of America,3/6/15,4,0,1
19,United Kingdom,3/5/15,1,0,NA
20,Guinea,3/5/15,2833,12,1749
21,Liberia,3/5/15,3150,4222,NA
22,Sierra Leone,3/5/15,8383,2827,3199
23,Mali,3/5/15,7,0,NA
24,Nigeria,3/5/15,19,0,7
25,Senegal,3/5/15,1,0,0
26,Spain,3/5/15,1,0,0
27,United States of America,3/5/15,4,0,1
28,United Kingdom,3/4/15,1,0,NA
29,Mali,3/4/15,7,0,NA
30,Nigeria,3/4/15,19,0,7
31,Senegal,3/4/15,1,0,0
32,Spain,3/4/15,1,0,0
33,United States of America,3/4/15,4,0,1
34,Guinea,3/4/15,2808,5,1735
35,Liberia,3/4/15,3153,4224,NA
36,Sierra Leone,3/4/15,8353,2803,3164
37,United Kingdom,3/2/15,1,0,NA
38,Guinea,3/2/15,2808,5,1735
39,Liberia,3/2/15,3153,4224,NA
40,Sierra Leone,3/2/15,8353,2803,3164
41,Mali,3/2/15,7,0,NA
42,Nigeria,3/2/15,19,0,7
43,Senegal,3/2/15,1,0,0
44,Spain,3/2/15,1,0,0
45,United States of America,3/2/15,4,0,1
46,United Kingdom,2/27/15,1,0,NA
47,Guinea,2/27/15,2790,8,1721
48,Liberia,2/27/15,3153,4224,NA
49,Sierra Leone,2/27/15,8320,2763,3124
50,Mali,2/27/15,7,0,NA
51,Nigeria,2/27/15,19,0,7
52,Senegal,2/27/15,1,0,0
53,Spain,2/27/15,1,0,0
54,United States of America,2/27/15,4,0,1
55,United Kingdom,2/26/15,1,0,NA
56,Guinea,2/26/15,2781,7,1714
57,Liberia,2/26/15,3153,4224,NA
58,Sierra Leone,2/26/15,8308,2746,3113
59,Mali,2/26/15,7,0,NA
60,Nigeria,2/26/15,19,0,7
61,Senegal,2/26/15,1,0,0
62,Spain,2/26/15,1,0,0
63,United States of America,2/26/15,4,0,1
64,United Kingdom,2/25/15,1,0,NA
65,Guinea,2/25/15,2762,6,1704
66,Liberia,2/25/15,3153,4197,NA
67,Sierra Leone,2/25/15,8289,2725,3095
68,Mali,2/25/15,7,0,NA
69,Nigeria,2/25/15,19,0,7
70,Senegal,2/25/15,1,0,0
71,Spain,2/25/15,1,0,0
72,United States of America,2/25/15,4,0,1
73,United Kingdom,2/23/15,1,0,NA
74,Guinea,2/23/15,2758,10,1699
75,Liberia,2/23/15,3153,4188,NA
76,Sierra Leone,2/23/15,8223,2645,3057
77,Mali,2/23/15,7,0,NA
78,Nigeria,2/23/15,19,0,7
79,Senegal,2/23/15,1,0,0
80,Spain,2/23/15,1,0,0
81,United States of America,2/23/15,4,0,1
82,United Kingdom,2/20/15,1,0,NA
83,Guinea,2/20/15,2734,2,1688
84,Liberia,2/20/15,3152,4062,NA
85,Sierra Leone,2/20/15,8223,2645,3057
86,Mali,2/20/15,7,0,NA
87,Nigeria,2/20/15,19,0,7
88,Senegal,2/20/15,1,0,0
89,Spain,2/20/15,1,0,0
90,United States of America,2/20/15,4,0,1
91,United Kingdom,2/19/15,1,0,NA
92,Guinea,2/19/15,2732,2,1686
93,Liberia,2/19/15,3152,4062,NA
94,Sierra Leone,2/19/15,8223,2645,3057
95,Mali,2/19/15,7,0,NA
96,Nigeria,2/19/15,19,0,7
97,Senegal,2/19/15,1,0,0
98,Spain,2/19/15,1,0,0
99,United States of America,2/19/15,4,0,1
100,United Kingdom,2/18/15,1,0,NA
101,Guinea,2/18/15,2727,7,1683
102,Sierra Leone,2/18/15,8212,2604,3042
103,Liberia,2/18/15,3149,3982,NA
104,Mali,2/18/15,7,0,NA
105,Nigeria,2/18/15,19,0,7
106,Senegal,2/18/15,1,0,0
107,Spain,2/18/15,1,0,0
108,United States of America,2/18/15,4,0,1
109,United Kingdom,2/17/15,1,0,NA
110,Guinea,2/17/15,2727,7,1683
111,Liberia,2/17/15,3149,3982,NA
112,Sierra Leone,2/17/15,8212,2604,3042
113,Mali,2/17/15,7,0,NA
114,Nigeria,2/17/15,19,0,7
115,Senegal,2/17/15,1,0,0
116,Spain,2/17/15,1,0,0
117,United States of America,2/17/15,4,0,1
118,United Kingdom,2/16/15,1,0,NA
119,Guinea,2/16/15,2720,7,1678
120,Liberia,2/16/15,3149,3982,NA
121,Sierra Leone,2/16/15,8199,2588,3035
122,Mali,2/16/15,7,0,NA
123,Nigeria,2/16/15,19,0,7
124,Senegal,2/16/15,1,0,0
125,Spain,2/16/15,1,0,0
126,United States of America,2/16/15,4,0,1
127,Guinea,2/13/15,2693,15,1659
128,Liberia,2/13/15,3147,3908,3858
129,Sierra Leone,2/13/15,8155,2545,2997
130,United Kingdom,2/13/15,1,0,NA
131,Mali,2/13/15,7,0,NA
132,Nigeria,2/13/15,19,0,7
133,Senegal,2/13/15,1,0,0
134,Spain,2/13/15,1,0,0
135,United States of America,2/13/15,4,0,1
136,United Kingdom,2/12/15,1,0,NA
137,Guinea,2/12/15,2685,16,1651
138,Liberia,2/12/15,3146,3862,3826
139,Sierra Leone,2/12/15,8138,2529,2984
140,Mali,2/12/15,7,0,NA
141,Nigeria,2/12/15,19,0,7
142,Senegal,2/12/15,1,0,0
143,Spain,2/12/15,1,0,0
144,United States of America,2/12/15,4,0,1
145,United Kingdom,2/11/15,1,0,NA
146,Guinea,2/11/15,2674,18,1643
147,Sierra Leone,2/11/15,8135,2512,2975
148,Liberia,2/11/15,3146,3862,3826
149,Mali,2/11/15,7,0,NA
150,Nigeria,2/11/15,19,0,7
151,Senegal,2/11/15,1,0,0
152,Spain,2/11/15,1,0,0
153,United States of America,2/11/15,4,0,1
154,Guinea,2/10/15,2674,18,1643
155,Liberia,2/10/15,3146,3862,3826
156,Sierra Leone,2/10/15,8135,2512,2975
157,United Kingdom,2/10/15,1,0,NA
158,Mali,2/10/15,7,0,NA
159,Nigeria,2/10/15,19,0,7
160,Senegal,2/10/15,1,0,0
161,Spain,2/10/15,1,0,0
162,United States of America,2/10/15,4,0,1
163,United Kingdom,2/6/15,1,0,NA
164,Guinea,2/6/15,2628,11,1608
165,Liberia,2/6/15,3143,3732,NA
166,Sierra Leone,2/6/15,8084,2421,2935
167,Mali,2/6/15,7,0,NA
168,Nigeria,2/6/15,19,0,7
169,Senegal,2/6/15,1,0,0
170,Spain,2/6/15,1,0,0
171,United States of America,2/6/15,4,0,1
172,United Kingdom,2/5/15,1,0,NA
173,Guinea,2/5/15,2621,18,1600
174,Liberia,2/5/15,3143,3732,NA
175,Sierra Leone,2/5/15,8063,2406,2920
176,Mali,2/5/15,7,0,NA
177,Nigeria,2/5/15,19,0,7
178,Senegal,2/5/15,1,0,0
179,Spain,2/5/15,1,0,0
180,United States of America,2/5/15,4,0,1
181,United Kingdom,2/4/15,1,0,NA
182,Guinea,2/4/15,2608,20,1597
183,Liberia,2/4/15,3143,3732,NA
184,Sierra Leone,2/4/15,8059,2394,2910
185,Mali,2/4/15,7,0,NA
186,Nigeria,2/4/15,19,0,7
187,Senegal,2/4/15,1,0,0
188,Spain,2/4/15,1,0,0
189,United States of America,2/4/15,4,0,1
190,United Kingdom,2/3/15,1,0,NA
191,Guinea,2/3/15,2608,20,1597
192,Liberia,2/3/15,3143,3717,NA
193,Sierra Leone,2/3/15,8059,2394,2910
194,Mali,2/3/15,7,0,NA
195,Nigeria,2/3/15,19,0,7
196,Senegal,2/3/15,1,0,0
197,Spain,2/3/15,1,0,0
198,United States of America,2/3/15,4,0,1
199,Guinea,2/2/15,2593,24,1595
200,Liberia,2/2/15,3138,3666,NA
201,Sierra Leone,2/2/15,8042,2378,2908
202,United Kingdom,2/2/15,1,0,NA
203,Mali,2/2/15,7,0,NA
204,Nigeria,2/2/15,19,0,7
205,Senegal,2/2/15,1,0,0
206,Spain,2/2/15,1,0,0
207,United States of America,2/2/15,4,0,1
208,United Kingdom,1/30/15,1,0,NA
209,Guinea,1/30/15,2575,13,1581
210,Liberia,1/30/15,3138,3641,NA
211,Sierra Leone,1/30/15,7989,2285,2850
212,Mali,1/30/15,7,0,NA
213,Nigeria,1/30/15,19,0,7
214,Senegal,1/30/15,1,0,0
215,Spain,1/30/15,1,0,0
216,United States of America,1/30/15,4,0,1
217,United Kingdom,1/29/15,1,0,NA
218,Guinea,1/29/15,2571,18,1579
219,Liberia,1/29/15,3138,3641,NA
220,Sierra Leone,1/29/15,7977,2273,2841
221,Mali,1/29/15,7,0,NA
222,Nigeria,1/29/15,19,0,7
223,Senegal,1/29/15,1,0,0
224,Spain,1/29/15,1,0,0
225,United States of America,1/29/15,4,0,1
226,Sierra Leone,1/28/15,7968,2263,2833
227,Guinea,1/28/15,2569,16,1578
228,Liberia,1/28/15,3138,3620,NA
229,United Kingdom,1/28/15,1,0,NA
230,Mali,1/28/15,7,0,NA
231,Nigeria,1/28/15,19,0,7
232,Senegal,1/28/15,1,0,0
233,Spain,1/28/15,1,0,0
234,United States of America,1/28/15,4,0,1
235,Liberia,1/27/15,3138,3620,NA
236,Guinea,1/27/15,2569,16,1578
237,Sierra Leone,1/27/15,7968,2263,2833
238,United Kingdom,1/27/15,1,0,NA
239,Mali,1/27/15,7,0,NA
240,Nigeria,1/27/15,19,0,7
241,Senegal,1/27/15,1,0,0
242,Spain,1/27/15,1,0,0
243,United States of America,1/27/15,4,0,1
244,Guinea,1/26/15,2559,18,1574
245,Sierra Leone,1/26/15,7963,2241,2829
246,Liberia,1/26/15,3136,3534,NA
247,United Kingdom,1/26/15,1,0,NA
248,Mali,1/26/15,7,0,NA
249,Nigeria,1/26/15,19,0,7
250,Senegal,1/26/15,1,0,0
251,Spain,1/26/15,1,0,0
252,United States of America,1/26/15,4,0,1
253,Liberia,1/23/15,3136,3534,NA
254,United Kingdom,1/23/15,1,0,NA
255,Sierra Leone,1/23/15,7921,2192,2793
256,Guinea,1/23/15,2545,9,1561
257,Mali,1/23/15,7,0,NA
258,Nigeria,1/23/15,19,0,7
259,Senegal,1/23/15,1,0,0
260,Spain,1/23/15,1,0,0
261,United States of America,1/23/15,4,0,1
262,Liberia,1/22/15,3136,3534,NA
